RUT,NOMBRE,CARGO,GÉNERO,TÍTULO,Tipo,SAFI
19283847-0,Ash Ketchum,Ingeniero Civil Residente,Masculino,SI,Universitario,345678
19283847-1,Pikachu,Prevencionista de Riesgos,Masculino,SI,Universitario,345678
19283847-2,Doraemon,Profesional Terreno ,Masculino,SI,Universitario,345678
19283847-3,Nobita Nobi,Jefe de Topografía,Masculino,SI,Universitario,345678
19283847-4,Shin-chan,Profesional Terreno ,Masculino,SI,Universitario,345678
19283847-5,Sakura Haruno,Ing. Geomensor o Topógrafo,Femenino,SI,Universitario,345678
19283847-6,Kakashi Hatake,Profesional Encargado PAC,Masculino,SI,Universitario,345678
19283847-7,Sasuke Uchiha,Ing. Geomensor o Topógrafo,Masculino,SI,Universitario,345678
19283847-8,Vegeta,Ing. Geomensor o Topógrafo,Masculino,SI,Universitario,345678
19283847-9,Gohan,Ing. Geomensor o Topógrafo,Masculino,SI,Universitario,345678
19283847-k,Piccolo,Profesional Ayudante,Masculino,SI,Universitario,345678
29283847-0,Roronoa Zoro,Ayudante Técnico ,Masculino,SI,Técnico,345678
29283847-1,Nami,Ayudante Técnico ,Femenino,SI,Técnico,345678
29283847-2,Sanji,Ayudante Técnico ,Masculino,SI,Técnico,345678
29283847-3,Chopper,Ayudante Técnico ,Masculino,SI,Técnico,345678
29283847-4,Denji,Secretaria,Masculino,SI,Técnico,345678
29283847-5,Power,Administrativa,Femenino,SI,Técnico,345678
29283847-6,Yor Forger,Ayudante Alarife,Femenino,NO,Sin Título,345678
29283847-7,Loid Forger,Ayudante Alarife,Masculino,NO,Sin Título,345678
67584932-0,Anya Forger,CAPATAZ,Femenino,SI,Universitario,789123
83838396-1,Megumin,RESIDENTE DE OBRA ,Femenino,SI,Universitario,789123
83838397-2,Kazuma Satou,JEFE DE TERRENO ,Masculino,SI,Universitario,789123
83838398-3,Rem,AYUD. DE RESIDENTE ,Femenino,SI,Universitario,789123
83838399-4,Emilia,NIVELADOR,Femenino,SI,Universitario,789123
83838400-5,Kirito,PREV. DE RIESGOS,Masculino,SI,Universitario,789123
83838401-6,Asuna,JEDE DE LABORATORIO,Femenino,SI,Universitario,789123
83838402-7,Senku Ishigami,JEFE DE TOPOGRAFIA,Masculino,SI,Universitario,789123
83838403-8,Taki Tachibana,ADMINISTRATIVO DE OBRAS ,Masculino,SI,Universitario,789123
83838404-9,Mitsuha Miyamizu,ENCARGADO DE CALIDAD,Femenino,SI,Universitario,789123
83838405-0,Hilda,MAESTRO OBRAS CIVILES ,Femenino,SI,Técnico,789123
83838406-1,Homer Simpson,ALARIFE ,Masculino,SI,Sin Título,789123
83838407-2,Bart Simpson,ALARIFE,Masculino,SI,Sin Título,789123
83838408-3,Mickey Mouse,ALARIFE,Masculino,SI,Sin Título,789123
83838409-4,Bugs Bunny,ALARIFE,Masculino,SI,Sin Título,789123
83838410-5,Tom,OPERADOR MOTONIVELADORA,Masculino,SI,Técnico,789123
83838411-6,Jerry,CONDUCTOR CAMION SEÑALIZACION,Masculino,SI,Técnico,789123
83838412-7,Bob Esponja,MAESTRO OBRAS CIVILES ,Masculino,SI,Técnico,789123
83838413-8,Patricio Estrella,ALARIFE,Masculino,NO,Sin Título,789123
83838414-9,Scooby-Doo,CARCHECK,Masculino,SI,Técnico,789123
83838415-0,Shaggy Rogers,ALARIFE,Masculino,NO,Sin Título,789123
83838416-1,Pedro Picapiedra,ALARIFE ,Masculino,NO,Sin Título,789123
83838417-2,Pablo Mármol,ESTAQUERO,Masculino,NO,Sin Título,789123
83838418-3,Supersónico,ESTAQUERO,Grupo,NO,Sin Título,789123
83838419-4,He-Man,JORNAL-PALETERO,Masculino,NO,Sin Título,789123
83838420-5,She-Ra,JORNAL-PALETERO,Femenino,NO,Sin Título,789123
83838421-6,Sailor Mercury,JORNAL-PALETERO,Femenino,NO,Sin Título,789123
83838422-7,Sailor Mars,JORNAL-PALETERO,Femenino,NO,Sin Título,789123
83838423-8,Sailor Venus,JORNAL-PALETERO,Femenino,NO,Sin Título,789123
83838424-9,Sailor Jupiter,JORNAL-PALETERO,Femenino,NO,Sin Título,789123
83838425-0,Trunks,JORNAL-PALETERO,Masculino,NO,Sin Título,789123
83838426-1,Freezer,JORNAL-PALETERO,Masculino,NO,Sin Título,789123
83838427-2,Cell,JORNAL-PALETERO,Masculino,NO,Sin Título,789123
83838428-3,Majin Buu,JORNAL-PALETERO,Masculino,NO,Sin Título,789123
83838429-4,Shanks,ESTAQUERO,Masculino,NO,Sin Título,789123
83838430-5,Trafalgar Law,AYUDANTE DE LABORATORIO,Masculino,SI,Técnico,789123
83838431-6,Portgas D. Ace,JORNAL-PALETERO,Masculino,NO,Sin Título,789123
83838432-7,Itachi Uchiha,JORNAL-PALETERO,Masculino,NO,Sin Título,789123
83838433-8,Gaara,JORNAL-PALETERO,Masculino,NO,Sin Título,789123
83838434-9,Jiraiya,JORNAL-PALETERO ,Masculino,NO,Sin Título,789123
83838435-0,Minato Namikaze,JORNAL-PALETERO,Masculino,NO,Sin Título,789123
98765431-2,Hinata Hyuga,JORNAL-PALETERO ,Femenino,NO,Sin Título,789123
78901234-8,Jotaro Kujo,JORNAL-PALETERO ,Masculino,NO,Sin Título,789123
78901234-9,Dio Brando,Administrativo,Masculino,SI,Técnico,789123
11111111-1,Goku (Dragon Ball),PROFESIONAL RESIDENTE ,HOMBRE,SI,Universitario,654321
22222222-2,Naruto Uzumaki (Naruto),JEFE DE LABORATORIO,HOMBRE,SI,Universitario,654321
33333333-3,Monkey D. Luffy (One Piece),TOPÓGRAFO,HOMBRE,SI,Técnico,654321
44444444-4,Sailor Moon (Sailor Moon),PROFESIONAL PAC,MUJER,SI,Universitario,654321
55555555-5,Tanjiro Kamado (Demon Slayer),COORDINADOR AMBIENTAL ,HOMBRE,SI,Universitario,654321
66666666-6,Nezuko Kamado (Demon Slayer),JEFE DE LABORATORIO,MUJER,SI,Universitario,654321
77777777-7,Eren Jaeger (Attack on Titan),PREVENCIONISTA DE RIESGOS,HOMBRE,SI,Universitario,654321
88888888-8,Mikasa Ackerman (Attack on Titan),MAESTRO PERFORISTA,HOMBRE,NO,Técnico,654321
99999999-9,Saitama (One-Punch Man),MAESTRO PERFORISTA,HOMBRE,NO,Técnico,654321
10101010-0,Light Yagami (Death Note),JEFE DE OBRA,HOMBRE,SI,Universitario,654321
20202020-2,L Lawliet (Death Note),CHOFER,HOMBRE,NO,Técnico,654321
30303030-3,Edward Elric (Fullmetal Alchemist),JEFE DE OPERACIONES,HOMBRE,SI,Universitario,654321
40404040-4,Alphonse Elric (Fullmetal Alchemist),OPERADOR,HOMBRE,NO,Técnico,654321
50505050-5,Ichigo Kurosaki (Bleach),OPERADOR,HOMBRE,NO,Técnico,654321
60606060-6,Ken Kaneki (Tokyo Ghoul),OPERADOR DE PERFORADORA,HOMBRE,NO,Técnico,654321
70707070-7,Midoriya Izuku (My Hero Academia),ADMINISTRATIVO ,HOMBRE,SI,Técnico,654321
80808080-8,Katsuki Bakugo (My Hero Academia),JORNAL,HOMBRE,NO,Sin Título,654321
90909090-9,Todoroki Shoto (My Hero Academia),JORNAL,HOMBRE,NO,Sin Título,654321
12121212-2,Natsu Dragneel (Fairy Tail),PALETERO,HOMBRE,NO,Sin Título,654321
23232323-2,Lucy Heartfilia (Fairy Tail),PALETERO,MUJER,NO,Sin Título,654321
34343434-3,Inuyasha (Inuyasha),PALETERO,HOMBRE,NO,Sin Título,654321
45454545-4,Kagome Higurashi (Inuyasha),ALARIFE,MUJER,NO,Sin Título,654321
56565656-5,Sakura Kinomoto (Cardcaptor Sakura),PALETERO,MUJER,NO,Sin Título,654321
67676767-6,Shinji Ikari (Neon Genesis Evangelion),JORNAL,HOMBRE,NO,Sin Título,654321
78787878-7,Asuka Langley (Neon Genesis Evangelion),BANDERERA,MUJER,NO,Sin Título,654321
89898989-8,Spike Spiegel (Cowboy Bebop),JORNAL,HOMBRE,NO,Sin Título,654321
14141414-1,Vash the Stampede (Trigun),PALETERO,HOMBRE,NO,Sin Título,654321
26262626-2,Kenshin Himura (Rurouni Kenshin),PALETERO,HOMBRE,NO,Sin Título,654321
37373737-3,Yugi Mutou (Yu-Gi-Oh!),PALETERO,HOMBRE,NO,Sin Título,654321
